index,term,installment,emp_title,purpose,title,dti,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,open_rv_12m,open_rv_24m,max_bal_bc,all_util,inq_fi,total_cu_tl,inq_last_12m,avg_cur_bal,chargeoff_within_12_mths,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_il_high_credit_limit,disbursement_method,is_risky
970, 36 months,265.87,MD,home_improvement,Home improvement,26.76,0.0,Individual,0.0,506887.0,0.0,6.0,0.0,0.0,40.0,302393.0,0.0,1.0,6303.0,119.0,1.0,0.0,1.0,46081.0,0.0,120.0,17.0,17.0,0.0,1.0,2.0,1.0,2.0,17.0,5.0,13.0,2.0,11.0,0.0,1.0,0.0,0.0,96.7,0.0,0.0,500495.0,282395.0,Cash,0
971, 60 months,540.83,Sous Chef,credit_card,Credit card refinancing,39.3,0.0,Individual,0.0,42687.0,0.0,2.0,0.0,0.0,29.0,19066.0,0.0,0.0,12670.0,56.0,0.0,0.0,1.0,7115.0,0.0,134.0,55.0,29.0,0.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,76178.0,43178.0,Cash,1
972, 36 months,456.89,,credit_card,Credit card refinancing,12.52,0.0,Individual,0.0,136692.0,0.0,13.0,0.0,0.0,38.0,132367.0,1.0,1.0,2381.0,127.0,1.0,0.0,0.0,9113.0,0.0,155.0,7.0,7.0,1.0,2.0,2.0,2.0,4.0,15.0,2.0,4.0,2.0,15.0,0.0,0.0,1.0,1.0,94.7,0.0,0.0,107440.0,100540.0,Cash,1
973, 60 months,302.42,RN,credit_card,Credit card refinancing,15.35,0.0,Individual,0.0,47454.0,0.0,8.0,0.0,1.0,14.0,34346.0,0.0,0.0,4829.0,63.0,0.0,0.0,0.0,2498.0,0.0,123.0,33.0,14.0,0.0,4.0,5.0,7.0,8.0,17.0,12.0,13.0,5.0,20.0,0.0,0.0,0.0,0.0,93.1,0.0,0.0,75013.0,41713.0,Cash,0
974, 36 months,116.21,Sewing,credit_card,Credit card refinancing,25.63,0.0,Individual,69.0,5125.0,0.0,1.0,0.0,1.0,13.0,3044.0,0.0,0.0,1559.0,68.0,0.0,0.0,2.0,1708.0,1.0,159.0,48.0,13.0,0.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,3.0,,0.0,0.0,0.0,67.0,0.0,0.0,17574.0,14524.0,Cash,1
975, 36 months,173.74,Software Engineer Developer,debt_consolidation,Debt consolidation,18.17,0.0,Individual,0.0,33904.0,1.0,3.0,1.0,2.0,3.0,23458.0,0.0,0.0,5063.0,52.0,2.0,1.0,2.0,3390.0,0.0,122.0,26.0,3.0,0.0,2.0,3.0,2.0,6.0,4.0,7.0,13.0,4.0,11.0,0.0,0.0,1.0,2.0,88.9,0.0,0.0,65380.0,51363.0,Cash,0
976, 60 months,678.37,Program Analyst,debt_consolidation,Debt consolidation,24.75,0.0,Individual,0.0,342557.0,2.0,12.0,1.0,2.0,6.0,29722.0,1.0,9.0,6896.0,59.0,0.0,0.0,2.0,14273.0,0.0,148.0,4.0,4.0,0.0,8.0,10.0,8.0,11.0,14.0,12.0,18.0,11.0,25.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,394015.0,68484.0,Cash,0
977, 36 months,520.96,Commercial closer,debt_consolidation,Debt consolidation,12.29,0.0,Individual,833.0,19996.0,1.0,1.0,0.0,1.0,21.0,15865.0,3.0,8.0,3018.0,31.0,3.0,0.0,3.0,952.0,0.0,184.0,2.0,2.0,0.0,3.0,4.0,10.0,19.0,5.0,19.0,33.0,5.0,21.0,0.0,0.0,0.0,3.0,97.6,0.0,0.0,63790.0,24603.0,Cash,1
978, 36 months,339.07,GM FOH,credit_card,Credit card refinancing,16.28,0.0,Individual,0.0,193345.0,2.0,2.0,0.0,2.0,16.0,23685.0,6.0,7.0,2801.0,40.0,0.0,7.0,3.0,12890.0,0.0,258.0,0.0,0.0,0.0,3.0,4.0,5.0,9.0,8.0,11.0,17.0,4.0,15.0,0.0,0.0,0.0,6.0,100.0,1.0,0.0,258316.0,37549.0,Cash,0
979, 60 months,888.2,IT Analyst,debt_consolidation,Debt consolidation,25.11,0.0,Joint App,433.0,603735.0,2.0,5.0,2.0,2.0,11.0,139765.0,3.0,3.0,13130.0,78.0,3.0,8.0,13.0,22361.0,0.0,404.0,0.0,0.0,1.0,9.0,15.0,10.0,15.0,9.0,18.0,27.0,16.0,27.0,0.0,0.0,0.0,5.0,84.4,0.0,0.0,733890.0,166148.0,Cash,0
980, 60 months,246.15,Process Development Supervisor,debt_consolidation,Debt consolidation,12.02,0.0,Individual,0.0,130304.0,0.0,1.0,0.0,0.0,61.0,5474.0,0.0,1.0,5346.0,26.0,0.0,0.0,0.0,26061.0,0.0,110.0,17.0,14.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,8.0,2.0,5.0,0.0,0.0,0.0,0.0,92.9,0.0,0.0,166906.0,29106.0,Cash,1
981, 60 months,512.17,QA Release Auditor,other,Other,13.58,0.0,Individual,1066.0,124261.0,3.0,9.0,1.0,2.0,12.0,50595.0,5.0,9.0,4205.0,71.0,2.0,0.0,4.0,4779.0,0.0,131.0,2.0,2.0,0.0,4.0,5.0,7.0,7.0,19.0,16.0,23.0,5.0,26.0,0.0,0.0,0.0,7.0,69.2,0.0,0.0,149807.0,54875.0,Cash,0
982, 36 months,140.18,Counselor,credit_card,Credit card refinancing,38.02,0.0,Individual,329.0,82652.0,3.0,5.0,4.0,4.0,3.0,68087.0,4.0,7.0,3681.0,59.0,3.0,0.0,4.0,3444.0,0.0,139.0,1.0,1.0,0.0,4.0,12.0,5.0,7.0,26.0,19.0,24.0,13.0,24.0,0.0,0.0,0.0,8.0,98.0,0.0,0.0,118683.0,70683.0,Cash,0
983, 36 months,542.07,buyer,debt_consolidation,Debt consolidation,13.57,0.0,Individual,0.0,78015.0,1.0,3.0,0.0,2.0,14.0,55539.0,3.0,6.0,3077.0,28.0,0.0,0.0,3.0,4334.0,0.0,354.0,2.0,2.0,0.0,10.0,11.0,12.0,19.0,5.0,15.0,25.0,12.0,18.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,210290.0,82290.0,Cash,1
984, 36 months,760.74,Senior accounts payable coordinator ,car,Car financing,18.96,0.0,Individual,0.0,51463.0,1.0,7.0,1.0,1.0,2.0,46164.0,0.0,1.0,5299.0,93.0,1.0,0.0,4.0,5718.0,0.0,127.0,14.0,2.0,13.0,1.0,1.0,2.0,8.0,22.0,2.0,8.0,1.0,9.0,0.0,0.0,0.0,1.0,44.8,0.0,0.0,55370.0,49070.0,Cash,0
985, 60 months,512.98,Network Manager,debt_consolidation,Debt consolidation,24.59,0.0,Individual,0.0,94147.0,0.0,3.0,1.0,2.0,9.0,91960.0,0.0,1.0,2187.0,34.0,1.0,0.0,3.0,23536.0,0.0,131.0,22.0,9.0,0.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,1.0,4.0,,0.0,2.0,1.0,67.0,1.0,0.0,100764.0,94264.0,Cash,0
986, 36 months,327.37,RN,debt_consolidation,Debt consolidation,28.03,0.0,Individual,0.0,345895.0,2.0,1.0,0.0,1.0,16.0,6743.0,5.0,6.0,2082.0,57.0,0.0,0.0,3.0,23059.0,0.0,182.0,4.0,4.0,0.0,3.0,12.0,7.0,13.0,7.0,12.0,30.0,12.0,15.0,,0.0,0.0,5.0,83.0,0.0,0.0,408825.0,10925.0,Cash,1
987, 60 months,295.6,Store manager,debt_consolidation,Debt consolidation,22.96,0.0,Individual,0.0,576697.0,2.0,4.0,1.0,3.0,4.0,40297.0,1.0,1.0,2870.0,61.0,4.0,4.0,9.0,41193.0,0.0,66.0,3.0,3.0,0.0,5.0,7.0,6.0,6.0,13.0,9.0,9.0,9.0,14.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,614252.0,61954.0,Cash,0
988, 60 months,483.93,Team leader,debt_consolidation,Debt consolidation,21.09,0.0,Individual,0.0,45454.0,2.0,2.0,3.0,4.0,4.0,25727.0,0.0,0.0,4813.0,88.0,0.0,7.0,0.0,7576.0,0.0,140.0,29.0,4.0,0.0,1.0,4.0,1.0,4.0,12.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,52225.0,31625.0,Cash,0
989, 36 months,128.7,admin. secretary,home_improvement,Home improvement,19.59,0.0,Individual,0.0,117934.0,1.0,2.0,1.0,2.0,3.0,24109.0,1.0,3.0,2101.0,37.0,0.0,0.0,4.0,5897.0,0.0,104.0,10.0,3.0,0.0,11.0,12.0,13.0,15.0,6.0,17.0,21.0,12.0,20.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,180703.0,24961.0,Cash,1
990, 36 months,489.52,IT Manager,credit_card,Credit card refinancing,13.57,0.0,Individual,0.0,295119.0,4.0,2.0,0.0,1.0,19.0,48913.0,4.0,7.0,3099.0,55.0,1.0,9.0,2.0,14053.0,0.0,185.0,1.0,1.0,0.0,7.0,13.0,9.0,28.0,20.0,19.0,45.0,14.0,22.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,371891.0,70822.0,Cash,0
991, 60 months,410.58,sales,credit_card,,15.73,0.0,Individual,0.0,214351.0,0.0,1.0,1.0,1.0,11.0,12127.0,0.0,2.0,6687.0,77.0,0.0,0.0,0.0,26794.0,0.0,73.0,13.0,11.0,0.0,4.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,8.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,258900.0,15700.0,Cash,0
992, 60 months,317.94,Advisory Director,credit_card,Credit card refinancing,12.33,0.0,Individual,0.0,409848.0,0.0,2.0,0.0,0.0,26.0,13831.0,0.0,1.0,8221.0,53.0,0.0,0.0,0.0,51231.0,0.0,181.0,17.0,17.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,8.0,0.0,0.0,0.0,0.0,78.6,0.0,0.0,469712.0,33412.0,Cash,1
993, 60 months,338.75,Contracting Officer,debt_consolidation,Debt consolidation,25.38,0.0,Individual,0.0,107945.0,2.0,4.0,2.0,8.0,1.0,81346.0,1.0,2.0,1206.0,79.0,2.0,10.0,7.0,9813.0,0.0,124.0,5.0,1.0,2.0,1.0,4.0,1.0,8.0,16.0,7.0,20.0,4.0,11.0,0.0,0.0,2.0,3.0,95.1,0.0,0.0,123715.0,89615.0,Cash,0
994, 36 months,140.44,Child Support Officer,debt_consolidation,Debt consolidation,9.16,0.0,Individual,0.0,105575.0,0.0,6.0,0.0,1.0,17.0,103796.0,1.0,2.0,916.0,85.0,0.0,0.0,0.0,11730.0,0.0,113.0,11.0,11.0,1.0,3.0,3.0,4.0,4.0,12.0,3.0,4.0,3.0,9.0,,0.0,0.0,1.0,80.0,0.0,0.0,105046.0,102946.0,Cash,0
995, 36 months,164.84,County Clerk,debt_consolidation,Debt consolidation,26.2,0.0,Individual,0.0,22461.0,3.0,3.0,2.0,5.0,2.0,19076.0,1.0,1.0,1613.0,73.0,0.0,0.0,1.0,4492.0,0.0,313.0,2.0,2.0,3.0,1.0,2.0,1.0,9.0,8.0,2.0,16.0,2.0,5.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,30965.0,26465.0,Cash,0
996, 36 months,637.58,,credit_card,Credit card refinancing,10.45,0.0,Individual,0.0,189122.0,3.0,1.0,2.0,2.0,5.0,7050.0,4.0,4.0,2092.0,63.0,2.0,15.0,4.0,23640.0,0.0,188.0,3.0,3.0,0.0,2.0,3.0,2.0,9.0,8.0,8.0,23.0,3.0,10.0,0.0,0.0,0.0,6.0,100.0,1.0,0.0,216650.0,7500.0,Cash,1
997, 36 months,926.18,Director Strategic Sales,credit_card,Credit card refinancing,11.65,0.0,Individual,0.0,457095.0,0.0,2.0,0.0,2.0,21.0,14089.0,0.0,2.0,18978.0,63.0,1.0,5.0,2.0,76183.0,0.0,260.0,17.0,8.0,0.0,3.0,3.0,3.0,5.0,7.0,3.0,14.0,3.0,6.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,488105.0,34205.0,Cash,1
998, 36 months,182.66,Service Coordinator,debt_consolidation,Debt consolidation,21.15,0.0,Individual,0.0,33858.0,0.0,3.0,0.0,0.0,28.0,27944.0,0.0,0.0,2264.0,77.0,0.0,1.0,0.0,5643.0,0.0,158.0,32.0,28.0,0.0,1.0,3.0,2.0,3.0,14.0,4.0,7.0,3.0,7.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,43788.0,36488.0,Cash,0
999, 36 months,1009.09,Operations Manager,debt_consolidation,Debt consolidation,16.21,0.0,Individual,0.0,61746.0,0.0,1.0,1.0,1.0,11.0,7192.0,1.0,2.0,12445.0,59.0,0.0,0.0,0.0,4750.0,0.0,189.0,7.0,7.0,0.0,6.0,7.0,11.0,15.0,2.0,13.0,22.0,7.0,14.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,127080.0,8580.0,Cash,0
1000, 60 months,558.32,Administrator,debt_consolidation,Debt consolidation,38.49,0.0,Individual,90.0,275996.0,0.0,3.0,0.0,0.0,37.0,111437.0,0.0,2.0,8864.0,55.0,0.0,0.0,0.0,13800.0,0.0,140.0,17.0,17.0,0.0,8.0,14.0,8.0,12.0,4.0,16.0,26.0,14.0,20.0,0.0,0.0,0.0,0.0,96.8,0.0,0.0,267374.0,73757.0,Cash,0
1001, 36 months,813.76,Underwriter,debt_consolidation,Debt consolidation,14.42,0.0,Individual,0.0,237379.0,2.0,1.0,0.0,0.0,26.0,4402.0,2.0,7.0,2064.0,74.0,0.0,0.0,3.0,14836.0,0.0,132.0,4.0,4.0,0.0,5.0,12.0,6.0,9.0,2.0,15.0,18.0,13.0,17.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,343449.0,10099.0,Cash,0
1002, 36 months,319.82,Property Manager,debt_consolidation,Debt consolidation,14.69,0.0,Individual,1274.0,101236.0,1.0,1.0,1.0,2.0,6.0,9062.0,0.0,2.0,1815.0,78.0,0.0,3.0,2.0,10124.0,0.0,54.0,18.0,6.0,0.0,4.0,7.0,4.0,5.0,8.0,7.0,9.0,7.0,10.0,0.0,0.0,0.0,1.0,94.7,0.0,0.0,111681.0,10027.0,Cash,1
1003, 36 months,382.55,Management Consultant,credit_card,Credit card refinancing,24.61,0.0,Individual,90.0,254054.0,0.0,3.0,1.0,1.0,7.0,56533.0,1.0,2.0,14251.0,65.0,0.0,1.0,6.0,23096.0,0.0,164.0,9.0,7.0,0.0,4.0,5.0,6.0,9.0,4.0,7.0,13.0,5.0,11.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,334163.0,89401.0,Cash,1
1004, 36 months,451.73,assistant manager,credit_card,Credit card refinancing,22.77,0.0,Individual,0.0,38039.0,1.0,2.0,0.0,0.0,25.0,7289.0,2.0,6.0,8156.0,51.0,0.0,10.0,0.0,2717.0,0.0,190.0,5.0,5.0,0.0,5.0,6.0,9.0,17.0,7.0,12.0,28.0,7.0,14.0,0.0,0.0,0.0,2.0,97.2,0.0,0.0,74220.0,21920.0,Cash,1
1005, 36 months,751.08,Teacher/Professor,debt_consolidation,Debt consolidation,27.58,0.0,Individual,0.0,363731.0,1.0,5.0,2.0,4.0,4.0,37616.0,1.0,2.0,6857.0,58.0,1.0,1.0,2.0,15155.0,0.0,387.0,7.0,4.0,0.0,7.0,11.0,9.0,10.0,8.0,16.0,21.0,12.0,25.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,432067.0,49050.0,Cash,1
1006, 36 months,315.63,Retail Manager,debt_consolidation,Debt consolidation,31.8,0.0,Individual,0.0,78334.0,0.0,12.0,1.0,1.0,8.0,69071.0,2.0,6.0,4626.0,65.0,2.0,0.0,3.0,3917.0,0.0,59.0,10.0,8.0,2.0,3.0,4.0,4.0,4.0,16.0,8.0,8.0,4.0,20.0,0.0,0.0,0.0,3.0,91.7,0.0,0.0,95937.0,76637.0,Cash,1
1007, 36 months,666.0,Logistics Management Specialist,debt_consolidation,Debt consolidation,13.12,0.0,Individual,0.0,138611.0,2.0,2.0,1.0,1.0,6.0,11438.0,3.0,3.0,5826.0,33.0,9.0,2.0,15.0,11551.0,0.0,122.0,4.0,4.0,0.0,7.0,7.0,7.0,13.0,7.0,9.0,19.0,7.0,12.0,0.0,0.0,0.0,4.0,100.0,0.0,0.0,200326.0,22410.0,Cash,0
1008, 36 months,255.04,Quality Assurance Supervisor,credit_card,Credit card refinancing,29.2,0.0,Individual,0.0,89413.0,2.0,4.0,2.0,2.0,4.0,85030.0,0.0,4.0,3698.0,42.0,1.0,0.0,4.0,5588.0,0.0,178.0,20.0,4.0,0.0,3.0,4.0,10.0,18.0,4.0,12.0,22.0,5.0,16.0,0.0,0.0,0.0,2.0,96.2,0.0,0.0,129877.0,90677.0,Cash,1
1009, 36 months,188.37,CSR,debt_consolidation,Debt consolidation,30.98,0.0,Individual,0.0,34397.0,0.0,3.0,0.0,1.0,17.0,17368.0,1.0,1.0,4468.0,62.0,0.0,1.0,0.0,3127.0,0.0,148.0,11.0,11.0,0.0,4.0,5.0,5.0,10.0,4.0,8.0,16.0,5.0,12.0,0.0,0.0,0.0,1.0,95.2,0.0,0.0,55607.0,29394.0,Cash,0
1010, 36 months,643.47,Sales Consultant,debt_consolidation,Debt consolidation,15.83,0.0,Individual,0.0,50909.0,2.0,3.0,1.0,2.0,2.0,33651.0,2.0,5.0,5386.0,64.0,2.0,0.0,4.0,4628.0,0.0,169.0,6.0,2.0,0.0,6.0,8.0,6.0,7.0,13.0,8.0,11.0,8.0,11.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,79641.0,33841.0,Cash,1
1011, 36 months,301.15,Program Manager ,debt_consolidation,Debt consolidation,7.37,0.0,Individual,0.0,191359.0,1.0,0.0,0.0,0.0,39.0,0.0,2.0,2.0,10767.0,44.0,2.0,3.0,1.0,23920.0,0.0,307.0,4.0,4.0,0.0,6.0,7.0,6.0,9.0,6.0,7.0,15.0,7.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,238200.0,0.0,Cash,1
1012, 60 months,594.84,Lieutenant/EMT,credit_card,Credit card refinancing,21.03,0.0,Individual,0.0,342737.0,0.0,1.0,0.0,0.0,49.0,12897.0,0.0,1.0,16422.0,45.0,1.0,0.0,0.0,34274.0,0.0,293.0,15.0,15.0,0.0,6.0,6.0,7.0,9.0,8.0,8.0,13.0,6.0,10.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,437740.0,17779.0,Cash,1
1013, 36 months,99.63,Account manager,house,Home buying,6.74,0.0,Individual,0.0,13286.0,1.0,2.0,1.0,1.0,2.0,10566.0,0.0,0.0,2045.0,69.0,1.0,0.0,1.0,3322.0,0.0,215.0,105.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,2.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,75.0,0.0,0.0,19295.0,13895.0,Cash,0
1014, 60 months,537.71,Supervisor Customer Service,debt_consolidation,Debt consolidation,29.52,0.0,Individual,0.0,62277.0,2.0,1.0,1.0,1.0,2.0,36266.0,1.0,5.0,4655.0,44.0,0.0,0.0,3.0,3663.0,0.0,196.0,0.0,0.0,0.0,10.0,16.0,13.0,13.0,5.0,16.0,22.0,14.0,17.0,,0.0,0.0,2.0,100.0,0.0,0.0,94966.0,36266.0,Cash,0
1015, 36 months,356.42,driver,debt_consolidation,Debt consolidation,18.39,0.0,Individual,0.0,31149.0,4.0,3.0,2.0,3.0,2.0,28203.0,2.0,4.0,2520.0,75.0,4.0,0.0,5.0,3894.0,0.0,134.0,4.0,2.0,4.0,3.0,3.0,4.0,16.0,3.0,6.0,24.0,3.0,9.0,0.0,0.0,0.0,4.0,84.0,0.0,0.0,41318.0,32518.0,Cash,0
1016, 36 months,321.74,General manager ,debt_consolidation,Debt consolidation,18.69,0.0,Individual,227.0,20511.0,2.0,2.0,0.0,2.0,13.0,16618.0,2.0,3.0,2293.0,52.0,0.0,0.0,1.0,2564.0,0.0,55.0,2.0,2.0,0.0,4.0,4.0,6.0,6.0,3.0,6.0,8.0,4.0,8.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,39565.0,27465.0,Cash,1
1017, 60 months,500.39,Loan Officer Asssistant,debt_consolidation,Debt consolidation,18.0,0.0,Individual,0.0,86648.0,0.0,2.0,0.0,2.0,16.0,28868.0,0.0,1.0,4026.0,71.0,0.0,0.0,2.0,14441.0,0.0,217.0,24.0,7.0,0.0,2.0,3.0,5.0,5.0,3.0,3.0,10.0,2.0,6.0,,0.0,0.0,1.0,100.0,0.0,0.0,95012.0,33822.0,Cash,0
1018, 36 months,311.02,Legal Assistant,debt_consolidation,Debt consolidation,26.02,0.0,Individual,0.0,39158.0,1.0,2.0,0.0,0.0,26.0,21976.0,1.0,1.0,5607.0,64.0,0.0,1.0,1.0,5594.0,0.0,347.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,4.0,5.0,6.0,4.0,7.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,75733.0,49733.0,Cash,1
1019, 36 months,514.75,Sales,debt_consolidation,Debt consolidation,12.63,0.0,Individual,0.0,15559.0,0.0,2.0,0.0,1.0,19.0,10207.0,1.0,4.0,4362.0,35.0,1.0,0.0,1.0,2593.0,0.0,357.0,8.0,8.0,2.0,3.0,3.0,3.0,16.0,2.0,6.0,20.0,3.0,7.0,0.0,1.0,0.0,1.0,89.7,0.0,0.0,44395.0,25395.0,Cash,0
1020, 36 months,93.31,Personal assitant,medical,Medical expenses,1.94,0.0,Individual,0.0,515673.0,3.0,0.0,0.0,2.0,13.0,0.0,2.0,5.0,2607.0,7.0,1.0,0.0,6.0,27141.0,0.0,324.0,2.0,2.0,0.0,6.0,7.0,10.0,13.0,2.0,19.0,29.0,7.0,20.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,654318.0,0.0,Cash,1
1021, 36 months,33.91,EMS,debt_consolidation,Debt consolidation,3.07,0.0,Individual,0.0,1846.0,1.0,0.0,0.0,0.0,50.0,0.0,1.0,2.0,1090.0,30.0,0.0,2.0,1.0,369.0,0.0,230.0,1.0,1.0,4.0,2.0,3.0,2.0,7.0,8.0,5.0,14.0,3.0,5.0,0.0,0.0,1.0,1.0,73.9,0.0,0.0,6200.0,0.0,Cash,0
1022, 36 months,659.33,pet care specialist,debt_consolidation,Debt consolidation,8.39,0.0,Individual,50.0,14215.0,0.0,1.0,0.0,0.0,44.0,6856.0,0.0,1.0,2202.0,36.0,1.0,0.0,2.0,1422.0,0.0,357.0,24.0,24.0,0.0,3.0,6.0,4.0,5.0,1.0,9.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,91.7,1.0,0.0,39399.0,15999.0,Cash,0
1023, 60 months,501.74,Customer care,debt_consolidation,Debt consolidation,18.72,0.0,Individual,1203.0,23573.0,3.0,2.0,1.0,2.0,5.0,21885.0,2.0,6.0,918.0,61.0,3.0,2.0,5.0,2357.0,0.0,50.0,2.0,2.0,0.0,1.0,2.0,4.0,7.0,4.0,8.0,11.0,2.0,10.0,0.0,0.0,0.0,3.0,100.0,0.0,0.0,38652.0,24952.0,Cash,0
1024, 36 months,582.38,Managing Member,small_business,Business,34.41,0.0,Individual,0.0,31619.0,2.0,2.0,1.0,1.0,6.0,15035.0,2.0,3.0,8377.0,50.0,0.0,0.0,6.0,3952.0,0.0,112.0,1.0,1.0,0.0,5.0,6.0,10.0,10.0,6.0,6.0,13.0,5.0,8.0,,0.0,0.0,3.0,90.0,0.0,0.0,67292.0,33892.0,Cash,0
1025, 36 months,329.67,Quality Control Engineer II,debt_consolidation,Debt consolidation,22.83,0.0,Individual,0.0,157249.0,0.0,7.0,3.0,5.0,11.0,151040.0,2.0,9.0,1900.0,71.0,2.0,7.0,5.0,8276.0,0.0,51.0,10.0,10.0,2.0,5.0,8.0,7.0,7.0,13.0,11.0,11.0,9.0,19.0,0.0,0.0,0.0,5.0,100.0,0.0,0.0,163258.0,124558.0,Cash,1
1026, 36 months,125.18,Dispatcher,debt_consolidation,Debt consolidation,19.07,0.0,Individual,0.0,26960.0,0.0,2.0,1.0,2.0,8.0,24297.0,0.0,1.0,2663.0,44.0,4.0,1.0,4.0,4493.0,0.0,112.0,21.0,8.0,0.0,1.0,1.0,4.0,6.0,7.0,5.0,7.0,1.0,7.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,61879.0,38879.0,Cash,1
1027, 36 months,132.84,Mechanic,other,Other,15.53,0.0,Individual,0.0,25063.0,1.0,3.0,2.0,3.0,4.0,19205.0,1.0,1.0,5213.0,75.0,1.0,4.0,1.0,3133.0,0.0,115.0,9.0,4.0,0.0,2.0,3.0,3.0,6.0,11.0,5.0,9.0,3.0,8.0,0.0,0.0,0.0,3.0,80.0,0.0,0.0,33489.0,21889.0,Cash,0
1028, 36 months,395.2,Assistant Scientist,house,Home buying,11.41,0.0,Individual,0.0,23246.0,1.0,3.0,0.0,2.0,20.0,19804.0,1.0,7.0,851.0,58.0,5.0,3.0,13.0,1660.0,0.0,67.0,6.0,6.0,0.0,3.0,9.0,3.0,7.0,5.0,11.0,21.0,9.0,14.0,0.0,0.0,0.0,1.0,88.0,0.0,0.0,40458.0,26758.0,Cash,0
1029, 36 months,237.51,Manager,home_improvement,Home improvement,24.13,0.0,Individual,575.0,64393.0,0.0,1.0,0.0,1.0,22.0,2311.0,0.0,0.0,3889.0,71.0,2.0,7.0,0.0,10732.0,0.0,117.0,45.0,22.0,0.0,2.0,4.0,2.0,2.0,6.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,79683.0,5101.0,Cash,0
1030, 36 months,257.39,Inventory Control Clerk,debt_consolidation,Debt consolidation,5.68,0.0,Individual,0.0,6217.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,4198.0,67.0,0.0,0.0,0.0,2072.0,0.0,133.0,8.0,8.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,9300.0,0.0,Cash,1
1031, 36 months,257.39,Nurse,debt_consolidation,Debt consolidation,12.29,0.0,Individual,69.0,395258.0,2.0,1.0,0.0,0.0,28.0,11352.0,1.0,1.0,11548.0,69.0,1.0,1.0,3.0,65876.0,0.0,294.0,1.0,1.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,9.0,3.0,6.0,0.0,0.0,0.0,2.0,94.4,0.0,0.0,410381.0,20816.0,Cash,1
1032, 36 months,271.26,Director of Sales Central Region,credit_card,Credit card refinancing,38.63,0.0,Individual,0.0,32574.0,2.0,4.0,0.0,1.0,23.0,15689.0,2.0,2.0,9881.0,35.0,1.0,5.0,2.0,2715.0,0.0,326.0,2.0,2.0,0.0,4.0,7.0,4.0,4.0,7.0,8.0,10.0,7.0,12.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0,93073.0,71173.0,Cash,0
